,기관코드_int,기관코드_str,시군구별(1),시군구별(2),계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
79,48730,48730,경남,함안군,94,-,-,3,4,22,-,13,-,12,1,5,9,-,-,25
80,48870,48870,경남,함양군,83,-,-,1,-,22,-,9,-,10,1,10,11,-,-,19
81,48890,48890,경남,합천군,96,-,-,3,2,17,-,10,-,14,1,16,15,-,-,18
82,47290,47290,경북,경산시,427,-,1,4,12,146,2,74,-,63,1,8,10,-,-,106
83,47130,47130,경북,경주시,407,-,1,10,14,115,2,58,1,68,1,12,16,-,-,109
84,47830,47830,경북,고령군,62,-,-,1,2,12,-,8,-,10,1,7,10,-,-,11
85,47190,47190,경북,구미시,616,-,3,8,9,217,5,104,-,92,2,8,12,-,-,156
86,47720,47720,경북,군위군,41,-,-,-,-,8,-,4,-,4,1,7,10,-,-,7
87,47150,47150,경북,김천시,212,-,2,1,4,60,-,33,-,24,1,15,16,-,-,56
88,47280,47280,경북,문경시,147,-,1,2,1,45,-,19,-,18,1,9,13,-,-,38
89,47920,47920,경북,봉화군,47,-,-,1,1,7,-,4,-,7,1,9,7,-,-,10
90,47250,47250,경북,상주시,186,-,2,1,3,45,-,25,-,25,1,18,25,-,-,41
91,47840,47840,경북,성주군,84,-,-,2,5,18,-,9,-,11,1,9,11,-,-,18
92,47170,47170,경북,안동시,290,-,3,5,7,80,2,43,1,42,1,14,25,-,-,67
93,47770,47770,경북,영덕군,81,-,-,1,2,17,-,9,-,8,1,8,13,-,-,22
94,47760,47760,경북,영양군,24,-,-,1,-,1,-,3,-,2,1,5,8,-,-,3
95,47210,47210,경북,영주시,191,-,1,6,4,51,-,28,1,30,1,10,13,-,-,46
96,47230,47230,경북,영천시,192,-,1,2,3,59,1,19,1,35,1,11,13,-,1,45
97,47900,47900,경북,예천군,97,-,-,1,2,21,-,13,1,13,1,10,16,-,-,19
98,47940,47940,경북,울릉군,11,-,-,-,1,-,-,1,-,1,-,2,3,1,-,2
99,47930,47930,경북,울진군,83,-,-,1,2,15,-,10,-,11,1,9,16,-,-,18
100,47730,47730,경북,의성군,108,-,-,5,6,19,-,7,-,10,1,17,21,-,-,22
101,47820,47820,경북,청도군,85,-,-,4,5,20,-,9,-,12,1,8,10,-,-,16
102,47750,47750,경북,청송군,55,-,-,1,-,13,-,5,-,8,-,6,11,1,-,10
103,47850,47850,경북,칠곡군,151,-,-,3,5,45,-,23,-,18,1,7,10,-,-,39
104,47111,47111,경북,포항시 남구,372,-,3,2,5,107,-,72,1,63,1,7,10,-,-,101
105,47113,47113,경북,포항시 북구,505,-,2,12,24,171,1,90,-,64,1,7,12,-,-,121
106,29200,29200,광주,광산구,640,-,6,18,17,206,3,139,18,72,1,1,7,-,-,152
107,29155,29155,광주,남구,427,-,3,15,9,128,-,103,17,45,1,-,2,-,-,104
108,29110,29110,광주,동구,327,2,1,6,10,113,1,56,6,34,1,-,-,-,-,97
109,29170,29170,광주,북구,782,-,6,22,19,251,1,183,26,85,1,-,-,-,-,188
110,29140,29140,광주,서구,676,-,5,19,11,250,9,144,18,87,1,-,1,-,-,131
111,27200,27200,대구,남구,345,2,1,7,10,103,-,56,-,62,1,-,-,-,-,103
112,27290,27290,대구,달서구,1064,1,4,31,13,378,5,195,-,172,1,-,-,-,-,264
113,27710,27710,대구,달성군,361,-,-,6,8,123,-,60,-,59,1,8,8,-,-,88
114,27140,27140,대구,동구,649,-,1,9,7,236,-,103,-,117,1,-,-,-,-,175
115,27230,27230,대구,북구,748,1,1,20,11,250,2,141,-,120,1,1,-,-,-,200
116,27170,27170,대구,서구,374,-,1,8,9,119,-,53,-,70,1,-,-,-,-,113
117,27260,27260,대구,수성구,948,-,1,15,8,346,5,166,2,208,1,-,-,-,-,196
118,27110,27110,대구,중구,594,1,2,13,3,248,4,109,1,70,1,-,-,-,-,142
