,기관코드_int,시군구1,시군구2,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국,65세이상인구,총인구,비율소수점
126,26710,부산,기장군,229,0,1,5,5,82,1,40,0,33,1,4,2,0,0,55,24517,160732,0.1525
127,26290,부산,남구,475,0,1,8,8,157,1,99,0,90,1,0,0,0,0,110,50037,278849,0.1794
128,26170,부산,동구,239,0,3,5,6,77,2,34,1,44,1,0,0,0,0,66,21515,85673,0.2511
129,26260,부산,동래구,608,0,3,16,17,184,4,130,0,117,1,0,0,0,0,136,46231,260986,0.1771
130,26230,부산,부산진구,986,1,3,19,14,429,3,170,1,157,1,0,0,0,0,188,64547,352390,0.1832
131,26320,부산,북구,465,0,2,11,14,166,3,88,0,77,1,1,0,0,0,102,44861,285098,0.1574
132,26530,부산,사상구,317,0,2,8,18,111,1,58,0,42,1,0,0,0,0,76,36132,222618,0.1623
133,26380,부산,사하구,541,0,0,18,25,184,1,100,2,85,1,0,0,0,0,125,55145,319828,0.1724
134,26140,부산,서구,235,3,1,4,6,60,0,34,1,35,1,0,0,0,0,90,24769,105847,0.234
135,26500,부산,수영구,395,0,2,8,11,123,1,78,0,82,1,0,0,0,1,88,35317,170414,0.2072
136,26470,부산,연제구,450,0,1,10,16,153,2,89,1,80,1,0,0,0,1,96,37186,203959,0.1823
137,26200,부산,영도구,203,0,2,1,5,73,0,31,0,34,1,0,0,0,0,56,28495,117959,0.2416
138,26110,부산,중구,182,0,1,1,5,69,0,39,1,25,1,0,0,0,0,40,10261,41958,0.2446
139,26350,부산,해운대구,814,0,2,14,18,320,4,160,1,133,1,2,0,0,0,159,63879,392846,0.1626
140,11680,서울,강남구,3088,2,2,33,9,1639,15,566,11,366,1,0,0,0,0,444,66790,509199,0.1312
141,11740,서울,강동구,1023,0,3,15,6,354,3,218,5,185,1,0,0,0,0,233,60737,415287,0.1463
142,11305,서울,강북구,628,0,1,8,6,225,1,124,0,96,1,0,0,0,0,166,57789,303871,0.1902
143,11500,서울,강서구,1080,0,4,17,4,394,3,219,4,191,1,0,0,0,0,243,80783,574097,0.1407
144,11620,서울,관악구,909,0,1,10,3,319,1,204,2,153,1,0,0,0,0,215,73151,507828,0.144
145,11215,서울,광진구,723,1,1,5,3,268,2,154,0,118,1,0,0,0,0,170,46330,359766,0.1288
146,11530,서울,구로구,741,1,1,8,9,261,1,166,2,110,1,1,0,0,0,180,66992,435560,0.1538
147,11545,서울,금천구,475,0,1,6,4,158,0,106,3,78,1,0,0,0,0,118,37815,249747,0.1514
148,11350,서울,노원구,952,0,3,7,6,350,3,195,2,159,1,1,0,0,0,225,77719,522480,0.1488
149,11320,서울,도봉구,485,0,1,8,6,163,1,103,2,85,1,0,0,0,0,115,56799,323543,0.1756
150,11230,서울,동대문구,832,1,3,14,9,260,4,157,1,157,1,0,0,0,1,224,56358,355094,0.1587
151,11590,서울,동작구,762,1,1,5,3,259,2,172,1,132,1,0,0,0,0,185,59792,400368,0.1493
152,11440,서울,마포구,929,0,0,2,3,371,3,200,1,150,1,0,0,0,0,198,48862,369327,0.1323
153,11410,서울,서대문구,587,1,1,5,3,208,2,125,1,89,1,1,0,0,0,150,48946,319394,0.1532
