,시도,시군구,행정구역명,행정동(행정기관명),법정동,행정구역코드,행정기관코드,행정기관5자리,행정기관 생성일,법정동코드,법정동 관할지역,행정동 영문명칭,비고
18828,경상북도,예천군,풍양면,풍양면,와룡리,3740041.0,4790041000,47900,19880423,4790041041,,Pungyang-myeon,
18829,경상북도,예천군,풍양면,풍양면,효갈리,3740041.0,4790041000,47900,19880423,4790041042,,Pungyang-myeon,
18908,경상북도,봉화군,상운면,상운면,신라리,3741039.0,4792038000,47920,19880423,4792038028,,Sangun-myeon,
18909,경상북도,봉화군,석포면,석포면,석포면,3741036.0,4792039000,47920,19880423,4792039000,,Seokpo-myeon,
18910,경상북도,봉화군,석포면,석포면,석포리,3741036.0,4792039000,47920,19880423,4792039021,,Seokpo-myeon,
18911,경상북도,봉화군,석포면,석포면,대현리,3741036.0,4792039000,47920,19880423,4792039022,,Seokpo-myeon,
18912,경상북도,봉화군,석포면,석포면,승부리,3741036.0,4792039000,47920,19880423,4792039023,,Seokpo-myeon,
19000,경상북도,울진군,매화면,매화면,덕신리,3742040.0,4793040000,47930,20150421,4793040024,,maehwa-myeon,
19001,경상북도,울진군,매화면,매화면,신흥리,3742040.0,4793040000,47930,20150421,4793040025,,maehwa-myeon,
19002,경상북도,울진군,매화면,매화면,기양리,3742040.0,4793040000,47930,20150421,4793040026,,maehwa-myeon,
19003,경상북도,울진군,매화면,매화면,갈면리,3742040.0,4793040000,47930,20150421,4793040027,,maehwa-myeon,
19004,경상북도,울진군,매화면,매화면,길곡리,3742040.0,4793040000,47930,20150421,4793040028,,maehwa-myeon,
19015,경상북도,울릉군,서면태하출장소,서면태하출장소,울릉군,,4794031500,47940,19880930,4794000000,,-,
19016,경상북도,울릉군,북면,북면,북면,3743032.0,4794032000,47940,19880423,4794032000,,Buk-myeon,
19017,경상북도,울릉군,북면,북면,천부리,3743032.0,4794032000,47940,19880423,4794032024,,Buk-myeon,
19018,경상북도,울릉군,북면,북면,나리,3743032.0,4794032000,47940,19880423,4794032025,,Buk-myeon,
19019,경상북도,울릉군,북면,북면,현포리,3743032.0,4794032000,47940,19880423,4794032026,,Buk-myeon,
19020,경상남도,경상남도,경상남도,경상남도,경상남도,38.0,4800000000,48000,19880423,4800000000,,Gyeongsangnam-do,
19021,경상남도,창원시,창원시,창원시,창원시,38110.0,4812000000,48120,20100701,4812000000,,Changwon-si,
19102,경상남도,창원시 의창구,봉림동,봉림동,봉곡동,3811154.0,4812154000,48121,20100701,4812112700,,Bongnim-dong,
19103,경상남도,창원시 의창구,용지동,용지동,용지동,3811155.0,4812155000,48121,20100701,4812110900,,Yongji-dong,
19104,경상남도,창원시 의창구,용지동,용지동,반송동,3811155.0,4812155000,48121,20100701,4812111500,,Yongji-dong,
19105,경상남도,창원시 의창구,용지동,용지동,신월동,3811155.0,4812155000,48121,20100701,4812112600,,Yongji-dong,
19106,경상남도,창원시 의창구,용지동,용지동,용호동,3811155.0,4812155000,48121,20100701,4812112800,,Yongji-dong,
19140,경상남도,창원시 성산구,웅남동,웅남동,귀곡동,3811257.0,4812357000,48123,20100701,4812312100,,Ungnam-dong,
19141,경상남도,창원시 성산구,웅남동,웅남동,귀현동,3811257.0,4812357000,48123,20100701,4812312200,,Ungnam-dong,
19142,경상남도,창원시 성산구,웅남동,웅남동,신촌동,3811257.0,4812357000,48123,20100701,4812312300,,Ungnam-dong,
19143,경상남도,창원시 성산구,웅남동,웅남동,웅남동,3811257.0,4812357000,48123,20100701,4812312900,,Ungnam-dong,
19144,경상남도,창원시 성산구,웅남동,웅남동,성산동,3811257.0,4812357000,48123,20100701,4812313200,,Ungnam-dong,
19145,경상남도,창원시 마산합포구,창원시 마산합포구,창원시 마산합포구,창원시 마산합포구,38113.0,4812500000,48125,20100701,4812500000,,Masanhappo-gu,
19264,경상남도,창원시마산합포구,오동동,오동동,창동,3811367.0,4812563000,48125,20170101,4812515000,,Odong-dong,
19265,경상남도,창원시마산합포구,오동동,오동동,추산동,3811367.0,4812563000,48125,20170101,4812515500,,Odong-dong,
19266,경상남도,창원시마산합포구,합포동,합포동,산호동,3811364.0,4812564000,48125,20100701,4812511800,분할연계,Happo-dong,
19267,경상남도,창원시마산합포구,합포동,합포동,상남동,3811364.0,4812564000,48125,20100701,4812511900,분할연계,Happo-dong,
19268,경상남도,창원시마산합포구,산호동,산호동,산호동,3811365.0,4812565000,48125,20100701,4812511800,분할연계,Sanho-dong,
19269,경상남도,창원시 마산회원구,창원시 마산회원구,창원시 마산회원구,창원시 마산회원구,38114.0,4812700000,48127,20100701,4812700000,,Masanhoewon-gu,
19292,경상남도,창원시마산회원구,합성2동,합성2동,합성동,3811459.0,4812759000,48127,20100701,4812710600,분할연계,Hapseong 2(i)-dong,
19293,경상남도,창원시마산회원구,구암1동,구암1동,구암동,3811460.0,4812760000,48127,20100701,4812710100,분할연계,Guam 1(il)-dong,
19294,경상남도,창원시마산회원구,구암2동,구암2동,구암동,3811461.0,4812761000,48127,20100701,4812710100,분할연계,Guam 2(i)-dong,
19295,경상남도,창원시마산회원구,봉암동,봉암동,봉암동,3811462.0,4812762000,48127,20100701,4812710300,분할연계,Bongam-dong,
19296,경상남도,창원시마산회원구,봉암동,봉암동,양덕동,3811462.0,4812762000,48127,20100701,4812710500,분할연계,Bongam-dong,
19374,경상남도,창원시 진해구,웅동1동,웅동1동,두동,3811564.0,4812964000,48129,20100701,4812916100,,Ungdong 1(il)-dong,
19375,경상남도,창원시 진해구,웅동2동,웅동2동,청안동,3811565.0,4812965000,48129,20100701,4812916200,,Ungdong 2(i)-dong,
19376,경상남도,창원시 진해구,웅동2동,웅동2동,안골동,3811565.0,4812965000,48129,20100701,4812916300,,Ungdong 2(i)-dong,
