시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
전라남도,순천시,27.9,4.7,6.7,0.3,8.5,3.1,29.4,5,7.6,2.1,39.8,58.5,3,2.9,0
경기도,시흥시,27.4,5.6,5.7,0.3,7.7,1.7,12.7,2.5,5.6,1.6,8.2,31.4,2.9,4.7,0.1
전라남도,신안군,37.7,6.3,8.9,0.6,12.4,3.1,28.7,9.3,7.8,1.2,83.7,58.3,12.5,8.5,0
충청남도,아산시,27.9,5.5,6.7,0.3,9.9,2.4,12.2,3.5,6.9,1.6,16.7,29.9,8.2,5.1,0.1
경상북도,안동시,25.6,4.2,5.6,0.2,7.6,1.8,11.1,2.1,5,1.3,27.2,53.2,2.8,3.3,0
경기도,안산시단원구,31.8,4.6,6.2,0.6,7.7,1.7,13,3.4,6,1.8,4,36.3,9.7,3.8,0.1
경기도,안산시상록구,29,5,5.4,0.2,7,2.2,11.1,3.2,6.6,1.6,5.7,44.6,7.9,4.8,0.1
경기도,안성시,22.9,5.5,6.6,0.2,7.4,2,10.6,3.4,7,1.4,16.1,29.5,4.4,5.3,0
경기도,안양시동안구,18.2,3.2,4.5,0.2,4.2,1.5,5.3,1.2,5.1,1.3,5,25.7,0.7,3.2,0.1
경기도,안양시만안구,21.8,4.6,5.1,0.2,5.7,1.6,7,2.4,5.4,1.5,17.6,36.8,1.6,4.1,0
강원도,양구군,25.2,6.2,13,0.3,12.4,2.4,9.5,1.5,7.4,1.2,9.2,27.2,0.5,6,0
경상남도,양산시,27.5,5.8,7.3,0.2,8.2,2.1,16.3,7.6,4.8,1.4,35.6,48.2,24.1,3.1,0.2
강원도,양양군,27.3,6.8,10.6,0.1,6.3,1.9,8.7,3.7,5.7,1.3,18.8,23.4,10.6,2.3,0
경기도,양주시,23.3,5,6.3,0.2,6.3,1.5,10.5,2.9,4.7,1.6,12.5,30.7,11.3,2.4,0.1
서울특별시,양천구,20.5,4.1,5.7,0.3,5.3,1.5,6,1.3,3.7,1.3,7.6,21.7,1.3,4,0.1
경기도,양평군,20.6,3.8,6.4,0.2,6.9,1.5,7.2,1.1,3.9,1.3,6.2,13.9,1.8,2.1,0
전라남도,여수시,32.1,5.3,7.1,0.4,10.1,4.1,34.8,4.4,8.8,1.8,72.1,46.1,9.1,6.1,0.3
경기도,여주시,22.7,4.5,4.3,0.3,6.7,2.2,17.6,3,5.2,2.6,5.4,38.4,1,2.5,0.1
인천광역시,연수구,22.1,5.8,5,0.2,5.8,2,13.7,2,7.6,1.3,9.9,22.3,5,7.1,0
부산광역시,연제구,27.5,5.6,8.4,0.2,7.3,1.4,12.6,4.7,6.2,1.5,33.6,50,17,8.3,0.1
경기도,연천군,26.8,4,6.5,0.2,6.5,1.8,10.7,3.5,5.2,1.8,19.8,44.5,13.4,4.9,0
전라남도,영광군,34.3,9.1,17.2,0.4,18.3,5.5,35,7.2,9,2,53,63.1,12.5,7.7,0.1
경상북도,영덕군,31.2,8.6,7.3,0.1,10.8,3,18.4,7.4,6.9,1.4,46,49.8,21.4,2.2,0
