행정구역별(읍면동),시도,시군구,65세이상인구,총인구,비율,,
36460,전라남도,완도군,14625,48366,30.24%,도군,
36470,전라남도,진도군,9318,29295,31.81%,도군,
36480,전라남도,신안군,12671,35432,35.76%,안군,
37011,경상북도,포항시 남구,37012,233172,15.87%,항시 남구,
37012,경상북도,포항시 북구,44235,268892,16.45%,항시 북구,
37020,경상북도,경주시,53055,264314,20.07%,주시,
37030,경상북도,김천시,30495,139902,21.80%,천시,
37040,경상북도,안동시,36930,160344,23.03%,동시,
37050,경상북도,구미시,37194,420319,8.85%,미시,
37060,경상북도,영주시,26704,105235,25.38%,주시,
37070,경상북도,영천시,26438,100487,26.31%,천시,
37080,경상북도,상주시,28640,96641,29.64%,주시,
37090,경상북도,문경시,20044,68542,29.24%,경시,
37100,경상북도,경산시,41971,290088,14.47%,산시,
37310,경상북도,군위군,8545,22206,38.48%,위군,
37320,경상북도,의성군,20099,49477,40.62%,성군,
37330,경상북도,청송군,8719,23958,36.39%,송군,
37340,경상북도,영양군,5851,16146,36.24%,양군,
37350,경상북도,영덕군,12782,35672,35.83%,덕군,
37360,경상북도,청도군,14727,41054,35.87%,도군,
37370,경상북도,고령군,9210,32191,28.61%,령군,
37380,경상북도,성주군,12513,41314,30.29%,주군,
37390,경상북도,칠곡군,16952,118517,14.30%,곡군,
37400,경상북도,예천군,15881,53020,29.95%,천군,
37410,경상북도,봉화군,10804,30308,35.65%,화군,
37420,경상북도,울진군,12735,47651,26.73%,진군,
37430,경상북도,울릉군,2042,8704,23.46%,릉군,
38030,경상남도,진주시,54912,354166,15.50%,주시,
38050,경상남도,통영시,23018,129931,17.72%,영시,
38060,경상남도,사천시,22962,111110,20.67%,천시,
38070,경상남도,김해시,57030,549331,10.38%,해시,
38080,경상남도,밀양시,26979,103402,26.09%,양시,
38090,경상남도,거제시,24073,251226,9.58%,제시,
38100,경상남도,양산시,43747,347221,12.60%,산시,
38111,경상남도,창원시 의창구,30206,256001,11.80%,원시 의창구,
38112,경상남도,창원시 성산구,16219,219951,7.37%,원시 성산구,
38113,경상남도,창원시 마산합포구,34788,177579,19.59%,원시 마산합포구,
38114,경상남도,창원시 마산회원구,31157,192446,16.19%,원시 마산회원구,
38115,경상남도,창원시 진해구,25405,190885,13.31%,원시 진해구,
38310,경상남도,의령군,9146,26040,35.12%,령군,
38320,경상남도,함안군,14790,66611,22.20%,안군,
38330,경상남도,창녕군,17636,62370,28.28%,녕군,
38340,경상남도,고성군,14841,50887,29.16%,성군,
38350,경상남도,남해군,15195,42169,36.03%,해군,
38360,경상남도,하동군,14192,42583,33.33%,동군,
38370,경상남도,산청군,11834,33579,35.24%,청군,
38380,경상남도,함양군,12217,37384,32.68%,양군,
38390,경상남도,거창군,15983,59888,26.69%,창군,
38400,경상남도,합천군,16255,42449,38.29%,천군,
39010,제주특별자치도,제주시,65170,487688,13.36%,주시,
39020,제주특별자치도,서귀포시,32300,177360,18.21%,귀포시,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
