	시군구1	시군구2	SIG_KOR_NM		계	상급종합병원	종합병원	병원	요양병원	의원	치과병원	치과의원	한방병원	한의원	보건소	보건지소	보건진료소	보건의료원	조산원	약국
6	전북	전주시 덕진구	장흥군	FALSE	591	1	2	7	17	211	1	115	10	77	0	0	2	0	0	148
5	전북	전주시 완산구	전주시덕진구	FALSE	790	0	2	26	18	265	1	155	11	121	1	0	1	0	0	189
242	강원	정선군	전주시완산구	FALSE	53	0	0	2	0	9	0	5	0	4	1	7	11	0	0	14
9	전북	정읍시	정선군	FALSE	256	0	1	4	5	76	0	34	1	32	1	15	26	0	0	61
42	제주	제주시	정읍시	FALSE	930	0	5	4	10	343	1	163	0	143	3	6	23	0	1	228
54	충북	제천시	제주시	FALSE	245	0	2	1	7	85	0	39	1	35	1	8	11	0	0	55
154	서울	종로구	제천시	FALSE	668	2	2	3	0	193	1	163	0	131	1	0	0	0	0	172
45	대전	중구	종로구	FALSE	518	1	2	5	12	175	1	85	1	85	1	1	1	0	1	147
79	부산	중구	중구	TRUE	182	0	1	1	5	69	0	39	1	25	1	0	0	0	0	40
95	대구	중구	중구	TRUE	594	1	2	13	3	248	4	109	1	70	1	0	0	0	0	142
103	울산	중구	중구	TRUE	323	0	2	10	5	108	0	67	0	48	1	0	0	0	0	82
155	서울	중구	중구	TRUE	728	0	2	4	0	241	6	211	1	95	1	0	0	0	0	167
179	인천	중구	중구	TRUE	177	1	1	2	4	57	0	36	1	16	1	2	1	0	0	55
160	서울	중랑구	중구	FALSE	689	0	3	12	3	237	0	148	0	108	1	0	0	0	0	177
58	충북	증평군	중랑구	FALSE	62	0	0	1	0	20	0	8	0	8	1	1	1	0	0	22
40	전남	진도군	증평군	FALSE	68	0	0	2	1	16	0	7	0	7	1	6	15	0	0	13
13	전북	진안군	진도군	FALSE	54	0	0	2	0	11	0	4	0	5	1	10	12	0	0	9
137	경남	진주시	진안군	FALSE	597	1	3	13	10	192	3	107	2	94	1	11	13	0	0	147
59	충북	진천군	진주시	FALSE	121	0	1	0	2	36	0	21	0	17	1	7	7	0	0	29
146	경남	창녕군	진천군	FALSE	129	0	0	4	7	29	0	13	0	15	1	13	19	0	0	28
134	경남	창원시 마산합포구	창녕군	FALSE	329	0	3	9	12	101	0	63	0	53	1	4	3	0	0	80
135	경남	창원시 마산회원구	창원시 마산합포구	FALSE	334	0	3	7	9	132	1	55	0	47	0	2	0	0	1	77
133	경남	창원시 성산구	창원시 마산회원구	FALSE	405	0	3	8	1	135	2	91	2	85	0	0	0	0	0	78
132	경남	창원시 의창구	창원시 성산구	FALSE	362	0	1	8	13	116	1	64	1	59	1	3	2	0	0	93
136	경남	창원시 진해구	창원시 의창구	FALSE	271	0	1	9	5	89	2	49	0	42	1	1	1	0	0	71
63	충남	천안시 동남구	창원시 진해구	FALSE	421	2	1	2	12	129	3	68	0	72	1	8	11	0	0	112
64	충남	천안시 서북구	천안시동남구	FALSE	648	0	1	18	11	213	5	116	6	98	1	4	7	0	0	168
243	강원	철원군	천안시서북구	FALSE	70	0	0	1	1	18	0	8	0	8	1	4	7	0	0	22
124	경북	청도군	철원군	FALSE	85	0	0	4	5	20	0	9	0	12	1	8	10	0	0	16
121	경북	청송군	청도군	FALSE	55	0	0	1	0	13	0	5	0	8	0	6	11	1	0	10
75	충남	청양군	청송군	FALSE	62	0	0	1	2	10	0	6	0	6	0	9	13	1	0	14
49	충북	청주시 상당구	청양군	FALSE	345	0	2	3	3	118	0	58	3	57	2	4	11	0	0	84
50	충북	청주시 서원구	청주시 상당구	FALSE	335	1	1	5	8	114	2	50	1	55	1	2	2	0	0	93
52	충북	청주시 청원구	청주시 서원구	FALSE	285	0	1	5	4	99	0	53	0	40	1	3	7	0	1	71
51	충북	청주시 흥덕구	청주시 청원구	FALSE	455	0	2	9	4	160	1	89	1	76	0	4	5	0	0	104
231	강원	춘천시	청주시 흥덕구	FALSE	472	0	2	9	7	161	0	81	0	69	1	10	13	0	0	119
53	충북	충주시	춘천시	FALSE	347	0	2	3	7	123	1	49	1	47	1	13	16	0	0	84
127	경북	칠곡군	충주시	FALSE	151	0	0	3	5	45	0	23	0	18	1	7	10	0	0	39
235	강원	태백시	칠곡군	FALSE	64	0	1	1	0	23	0	9	0	7	1	1	1	0	0	20
78	충남	태안군	태백시	FALSE	112	0	0	1	1	29	1	13	1	13	0	6	16	1	0	30
138	경남	통영시	태안군	FALSE	230	0	0	7	4	78	0	34	1	27	1	3	18	0	0	57
219	경기	파주시	통영시	FALSE	573	0	1	11	20	184	0	114	1	85	1	6	7	0	0	143
241	강원	평창군	파주시	FALSE	84	0	0	0	2	17	0	13	0	10	0	6	15	1	0	20
201	경기	평택시	평창군	FALSE	765	0	4	11	7	253	0	148	1	111	2	9	11	0	1	207
226	경기	포천시	평택시	FALSE	209	0	2	2	6	62	0	36	0	24	1	13	9	0	0	54
108	경북	포항시 남구	포천시	FALSE	372	0	3	2	5	107	0	72	1	63	1	7	10	0	0	101
109	경북	포항시 북구	포항시 남구	FALSE	505	0	2	12	24	171	1	90	0	64	1	7	12	0	0	121
215	경기	하남시	포항시 북구	FALSE	381	0	0	7	4	148	0	76	0	58	1	0	0	0	0	87
